utc_timestamp,AT_temperature,BE_temperature,DE_temperature,FR_temperature,GB_temperature,GR_temperature,NL_temperature,RO_temperature,SE_temperature,SK_temperature
1980-01-01T00:00:00Z,-3.64,-0.72,-1.261,-0.537,-1.249,9.912,2.382,-0.031,-3.945,-4.648
1980-01-01T01:00:00Z,-3.803,-1.165,-1.414,-0.489,-1.377,9.369,2.236,0.311,-4.053,-4.554
1980-01-01T02:00:00Z,-3.969,-1.434,-1.571,-0.391,-1.449,9.056,2.086,0.568,-4.129,-4.455
1980-01-01T03:00:00Z,-4.076,-1.843,-1.76,-0.354,-1.481,8.658,1.861,0.61,-4.139,-4.421
1980-01-01T04:00:00Z,-4.248,-2.094,-1.995,-0.354,-1.433,8.335,1.713,0.462,-4.239,-4.449
1980-01-01T05:00:00Z,-4.527,-2.06,-2.19,-0.397,-1.426,8.069,1.596,0.158,-4.335,-4.517
1980-01-01T06:00:00Z,-4.84,-1.88,-2.316,-0.421,-1.482,8.066,1.505,-0.162,-4.384,-4.607
1980-01-01T07:00:00Z,-4.703,-1.779,-2.439,-0.404,-1.579,8.347,1.321,-0.258,-4.468,-4.254
1980-01-01T08:00:00Z,-3.835,-1.09,-2.204,0.29,-1.584,8.663,1.298,-0.215,-4.362,-3.54
1980-01-01T09:00:00Z,-2.804,-0.234,-1.616,1.284,-1.122,9.012,1.608,-0.092,-3.875,-2.733
1980-01-01T10:00:00Z,-2.124,0.507,-1.015,2.2,-0.465,9.139,1.894,0.181,-3.412,-2.038
1980-01-01T11:00:00Z,-1.769,1.097,-0.575,2.823,0.074,9.081,2.15,0.277,-3.167,-1.578
1980-01-01T12:00:00Z,-1.7,1.46,-0.393,3.155,0.452,9.153,2.382,0.09,-3.169,-1.413
1980-01-01T13:00:00Z,-1.951,1.479,-0.527,3.151,0.498,8.99,2.498,-0.467,-3.506,-1.626
1980-01-01T14:00:00Z,-2.76,0.896,-1.036,2.572,-0.033,8.348,2.341,-1.392,-3.907,-2.265
1980-01-01T15:00:00Z,-3.71,0.044,-1.726,1.482,-1.575,7.307,1.972,-2.095,-4.136,-2.938
1980-01-01T16:00:00Z,-4.171,-0.094,-2.077,0.635,-2.443,6.616,1.986,-2.629,-4.379,-3.401
1980-01-01T17:00:00Z,-4.452,0.01,-2.263,0.328,-2.494,6.118,2.101,-3.115,-4.64,-3.788
1980-01-01T18:00:00Z,-4.706,0.061,-2.462,0.044,-2.611,5.562,2.164,-3.469,-4.905,-4.181
1980-01-01T19:00:00Z,-5.025,0.068,-2.57,-0.23,-2.717,4.882,2.163,-3.771,-5.138,-4.498
1980-01-01T20:00:00Z,-5.346,0.137,-2.65,-0.5,-2.755,4.591,2.056,-4.057,-5.315,-4.736
1980-01-01T21:00:00Z,-5.732,0.343,-2.725,-0.709,-2.886,4.516,1.758,-4.291,-5.443,-4.88
1980-01-01T22:00:00Z,-6.13,0.496,-2.814,-0.843,-3.015,4.431,1.411,-4.457,-5.558,-5.048
1980-01-01T23:00:00Z,-6.42,0.527,-2.95,-0.934,-3.113,4.477,1.098,-4.608,-5.696,-5.103
